PH,TempR,HumR,Time,Temp1,Temp2,Temp3,Hum1,Hum2,Hum3
0,18.8,49,2020-06-15T15:12:27.000Z,21,18.7,21.8,39,41,31
0,19.2,47,2020-06-15T15:42:27.000Z,21.2,18.5,22.8,37,42,35
0,19.3,46,2020-06-15T16:12:27.000Z,21.1,19.4,22.4,35,36,33
0,18.7,50,2020-06-15T16:42:27.000Z,22,20.3,22,36,40,35
0,19.9,47,2020-06-15T17:12:27.000Z,22,19.5,22.2,37,43,38
0,20.4,46,2020-06-15T17:42:27.000Z,21.8,19.8,22,37,41,36
0,20.3,46,2020-06-15T18:12:27.000Z,24.1,20.3,22.3,36,40,37
0,20,49,2020-06-15T18:42:27.000Z,22.7,21,22.2,35,39,36
0,20.5,51,2020-06-15T19:10:30.000Z,24.4,21.4,22.3,31,40,36
0,21.2,42,2020-06-15T19:42:27.000Z,27,22.1,22.9,28,37,36
0,21.4,43,2020-06-15T20:12:27.000Z,25.1,24.8,22.6,29,29,36
0,21.2,45,2020-06-15T20:42:27.000Z,24.5,24.4,22.5,29,29,36
0,21.3,41,2020-06-15T21:12:27.000Z,24.3,22.6,22.5,29,31,33
0,21.7,42,2020-06-15T21:42:27.000Z,24.5,23.7,22.2,28,30,31
0,21.2,44,2020-06-15T22:12:27.000Z,24.2,23.5,22.4,26,30,32
0,20.8,43,2020-06-15T22:42:27.000Z,26.1,23.4,22.1,27,32,31
0,19.5,42,2020-06-15T23:12:27.000Z,25.3,23.4,22.7,26,30,32
0,18.7,48,2020-06-15T23:42:27.000Z,24.3,22.9,23.2,28,30,32
0,17.1,54,2020-06-16T00:12:27.000Z,22.6,20.9,22.5,31,34,31
0,15.4,64,2020-06-16T00:42:27.000Z,21.2,19.2,22,36,40,34
0,14.1,69,2020-06-16T01:12:27.000Z,20.5,17.5,20.4,37,44,36
0,13,70,2020-06-16T01:40:47.000Z,20,17.5,18.9,38,45,42
0,12,71,2020-06-16T02:12:27.000Z,20.5,17.3,18.4,39,45,44
0,11.5,76,2020-06-16T02:40:22.000Z,20.7,17,17.7,37,48,45
0,10.6,78,2020-06-16T03:12:27.000Z,20.6,16.5,17.7,36,49,44
0,10.2,79,2020-06-16T03:42:27.000Z,20,16.1,17.3,38,51,46
0,10.1,80,2020-06-16T04:12:27.000Z,19.6,16.2,17,39,48,46
0,9.5,83,2020-06-16T04:42:27.000Z,18.9,15.7,17.1,42,48,46
0,9.3,86,2020-06-16T05:12:27.000Z,17.9,15.8,16.8,44,48,47
0,8.6,88,2020-06-16T05:42:27.000Z,18,15.8,16.8,44,48,46
0,8.1,90,2020-06-16T06:12:27.000Z,17,15.7,16.6,43,48,47
0,8.1,90,2020-06-16T06:42:27.000Z,17.5,15.6,16.5,45,49,47
0,7.9,91,2020-06-16T07:12:27.000Z,17.6,15.5,16.4,44,48,46
0,7.6,92,2020-06-16T07:42:27.000Z,17.4,15,16,45,50,48
0,7.5,92,2020-06-16T08:12:28.000Z,18,15.1,16,46,50,48
0,7.1,93,2020-06-16T08:42:27.000Z,17.6,14.9,16,44,49,47
0,6.9,93,2020-06-16T09:12:27.000Z,17,15,16.1,44,48,46
0,6.9,94,2020-06-16T09:42:27.000Z,16.9,14.4,15.4,45,51,48
0,6.8,95,2020-06-16T10:12:27.000Z,16.2,14.7,15.2,46,51,49
0,9.4,94,2020-06-16T10:42:27.000Z,17.4,15.1,15.6,44,49,47
0,8.5,96,2020-06-16T11:12:27.000Z,17.4,15.3,15.8,42,47,48
0,12.1,87,2020-06-16T11:42:04.000Z,17.8,16.3,15.9,42,48,48
0,12.5,87,2020-06-16T12:12:27.000Z,18.1,17.1,18,43,45,45
0,14.1,85,2020-06-16T12:42:27.000Z,18.6,17.4,19.4,42,46,38
0,16.5,78,2020-06-16T13:12:27.000Z,19.1,18.2,23.2,47,49,33
0,18.8,61,2020-06-16T13:42:28.000Z,19.3,18.6,25.3,48,47,30
0,20.4,55,2020-06-16T14:12:27.000Z,20.3,18.9,24.2,47,48,32
0,22.5,41,2020-06-16T14:39:32.000Z,19.9,19.3,26.4,40,43,26
0,23.3,36,2020-06-16T15:12:28.000Z,20.4,19.4,27.3,34,39,21
0,24.6,32,2020-06-16T15:42:28.000Z,21,19.8,26.8,33,35,20
0,25.1,30,2020-06-16T16:12:28.000Z,21.4,20.3,23.5,31,33,27
0,24.6,30,2020-06-16T16:41:42.000Z,21.9,20.6,23.5,30,33,26
0,25.2,30,2020-06-16T17:12:28.000Z,22.3,21.1,23.1,29,32,26
0,25.9,34,2020-06-16T17:42:28.000Z,24.4,21.3,23.6,27,33,28
0,26.1,36,2020-06-16T18:12:28.000Z,25.8,20.8,24,23,34,27
0,26.1,35,2020-06-16T18:42:28.000Z,28.2,20.8,24.5,21,34,25
0,26.4,38,2020-06-16T19:12:28.000Z,29.8,21.1,24.6,20,35,26
0,26.3,35,2020-06-16T19:42:28.000Z,30.2,21.5,24.9,19,34,26
0,26.1,34,2020-06-16T20:12:28.000Z,29.9,25,25.4,20,27,26
0,24.9,36,2020-06-16T20:42:28.000Z,29.5,27.7,25.5,21,23,26
0,26.2,37,2020-06-16T21:12:28.000Z,29.6,27.7,25.8,21,23,25
0,25.3,39,2020-06-16T21:42:28.000Z,29.8,27.1,25.6,22,25,26
0,24.8,41,2020-06-16T22:12:28.000Z,31.5,26.8,26.1,20,27,27
0,23.6,39,2020-06-16T22:42:28.000Z,31.7,26.3,26.3,19,28,27
0,23.5,44,2020-06-16T23:12:28.000Z,30,26.2,26.2,22,29,28
0,21.1,54,2020-06-16T23:42:28.000Z,29.6,25.4,25.2,24,30,29
0,20.8,55,2020-06-17T00:12:28.000Z,27.5,24.5,27.7,27,32,25
0,18.3,60,2020-06-17T00:42:28.000Z,23.6,22.7,23.6,38,40,37
0,18,59,2020-06-17T01:12:28.000Z,21.8,21.2,22.4,42,42,40
0,15.6,67,2020-06-17T01:42:28.000Z,20.7,20.2,21.7,43,44,40
0,14.8,67,2020-06-17T02:12:28.000Z,20.5,18.5,20.5,46,51,42
0,13.1,71,2020-06-17T02:42:28.000Z,19.7,17.9,19.7,48,53,46
0,12.9,80,2020-06-17T03:12:28.000Z,19.2,17.4,19.1,50,56,48
0,12.7,80,2020-06-17T03:42:28.000Z,18.8,17,19,53,59,53
0,12.8,80,2020-06-17T04:12:28.000Z,18.2,16.4,18.2,55,62,56
0,12.4,79,2020-06-17T04:42:28.000Z,17.9,15.8,17.7,56,63,56
0,11.9,82,2020-06-17T05:12:28.000Z,18.2,15.6,17.2,56,65,59
0,11.4,86,2020-06-17T05:42:28.000Z,17.4,15.5,17,58,65,59
0,11.1,89,2020-06-17T06:12:28.000Z,16,15.1,16.8,61,66,60
0,10.3,90,2020-06-17T06:42:28.000Z,16.3,15,16.7,61,65,58
0,10.3,90,2020-06-17T07:12:28.000Z,16,14.6,16.3,64,69,62
0,9.9,92,2020-06-17T07:42:28.000Z,15.8,14.5,15.9,64,70,63
0,9.9,93,2020-06-17T08:12:28.000Z,16.1,14.8,16,63,67,63
0,9.5,94,2020-06-17T08:42:28.000Z,16.1,14.8,15.9,64,66,63
0,9,95,2020-06-17T09:12:28.000Z,16.4,15.3,16.3,62,65,61
0,9.2,96,2020-06-17T09:42:28.000Z,16.8,15.4,16.4,60,63,60
0,9.4,96,2020-06-17T10:12:28.000Z,16.2,16,16.5,57,61,59
0,9.7,96,2020-06-17T10:42:28.000Z,17.3,16.6,16.6,57,58,58
0,10.1,96,2020-06-17T11:12:28.000Z,17.6,17,17,55,57,56
0,13.8,92,2020-06-17T11:42:28.000Z,17.6,17.8,16.9,56,54,59
0,15,84,2020-06-17T12:12:28.000Z,18.1,18.8,18.2,57,54,53
0,16.3,82,2020-06-17T12:41:16.000Z,18.5,19.8,19.4,64,59,56
0,18.1,80,2020-06-17T13:12:28.000Z,19,20.3,22.2,68,61,53
0,20.2,67,2020-06-17T13:42:28.000Z,19.4,20.7,24.7,66,61,45
0,22.1,61,2020-06-17T14:12:29.000Z,21.2,21.4,24.7,66,58,46
0,23.6,51,2020-06-17T14:42:28.000Z,21.1,21.6,26.8,56,51,35
0,24.8,48,2020-06-17T15:12:28.000Z,22.3,21.8,28.1,47,47,30
0,25.6,45,2020-06-17T15:42:28.000Z,23.1,22.9,27.7,42,44,28
0,26.5,44,2020-06-17T16:12:28.000Z,23.8,22.9,25.2,42,43,34
0,27.3,48,2020-06-17T16:42:28.000Z,24.2,22.6,24.9,40,44,35
0,27.6,45,2020-06-17T17:12:28.000Z,24.9,23.1,25.4,38,42,34
0,28.4,41,2020-06-17T17:42:28.000Z,27,23.3,25.8,32,41,32
0,28.5,40,2020-06-17T18:12:28.000Z,36.3,23.4,26.1,17,40,32
0,28.9,39,2020-06-17T18:42:28.000Z,38.9,23.5,26.9,14,40,31
0,29,37,2020-06-17T19:12:28.000Z,39.5,24.1,27.2,15,39,31
0,28.9,40,2020-06-17T19:42:28.000Z,37.8,25.4,28,16,38,31
0,29.2,43,2020-06-17T20:12:29.000Z,36,30.6,28.3,19,27,31
